relative_likelihood	k_ie
7.776556608688854e-6	0.0006
0.000027978838904656217	0.0006343434343434343
0.00009293942851950689	0.0006686868686868687
0.0002853517510134581	0.000703030303030303
0.000810691847561959	0.0007373737373737373
0.00213359598093949	0.0007717171717171716
0.005207600835677567	0.000806060606060606
0.011801077143808835	0.0008404040404040404
0.02485732792149635	0.0008747474747474748
0.0487222346590992	0.0009090909090909091
0.08896753241690829	0.0009434343434343434
0.15151628960759334	0.0009777777777777777
0.24093636481649314	0.001012121212121212
0.35813943733949044	0.0010464646464646466
0.4981953757535095	0.0010808080808080809
0.6492847438954954	0.0011151515151515152
0.7936844415036017	0.0011494949494949495
0.9110152847607612	0.0011838383838383838
0.9830035800690975	0.0012181818181818183
0.9982079384395631	0.0012525252525252524
0.955006647225092	0.001286868686868687
0.8617714945890009	0.0013212121212121213
0.7342717936393511	0.0013555555555555556
0.591393769013676	0.00138989898989899
0.4507392535793033	0.0014242424242424242
0.3254419375987156	0.0014585858585858587
0.22283784487766903	0.0014929292929292928
0.14485595578217828	0.0015272727272727274
0.08949054240539632	0.0015616161616161617
0.05259800717533487	0.001595959595959596
0.029441995173688024	0.0016303030303030305
0.015711647529216943	0.0016646464646464646
0.008001652668498416	0.0016989898989898992
0.003892997684455082	0.0017333333333333333
0.0018112318123990213	0.0017676767676767678
0.0008066482280147957	0.0018020202020202019
0.0003442271710927621	0.0018363636363636364
0.00014089096616858021	0.001870707070707071
0.00005536304511806875	0.001905050505050505
0.000020906093384316447	0.0019393939393939396
7.593719949937174e-6	0.0019737373737373737
2.6556635806041957e-6	0.002008080808080808
8.950176827821069e-7	0.0020424242424242427
2.90956957238012e-7	0.002076767676767677
9.13183590630473e-8	0.0021111111111111113
2.7695449964267547e-8	0.0021454545454545454
8.12388066209244e-9	0.00217979797979798
2.3067591532540278e-9	0.002214141414141414
6.34597536833541e-10	0.0022484848484848486
1.6928585649816374e-10	0.002282828282828283
4.382609777476463e-11	0.0023171717171717172
1.1020297897291623e-11	0.0023515151515151518
2.6937402384472736e-12	0.002385858585858586
6.405724385394383e-13	0.0024202020202020204
1.4831125070448007e-13	0.0024545454545454545
3.3458869341569046e-14	0.002488888888888889
7.360589198943547e-15	0.0025232323232323235
1.5801769900286654e-15	0.0025575757575757576
3.312937490808283e-16	0.002591919191919192
6.788166282561152e-17	0.0026262626262626263
1.3603029806870525e-17	0.002660606060606061
2.6679019653516618e-18	0.002694949494949495
5.12456611615142e-19	0.0027292929292929294
9.647043324909947e-20	0.0027636363636363635
1.781037449191412e-20	0.002797979797979798
3.2268614004298625e-21	0.0028323232323232326
5.741134549866187e-22	0.0028666666666666667
1.0036955573416463e-22	0.002901010101010101
1.7253010249532696e-23	0.0029353535353535353
2.917784128318181e-24	0.00296969696969697
4.857677994488634e-25	0.003004040404040404
7.966152092361272e-26	0.0030383838383838385
1.2875525196021331e-26	0.003072727272727273
2.052226010401666e-27	0.003107070707070707
3.2275422021886805e-28	0.0031414141414141416
5.011215715041432e-29	0.0031757575757575757
7.685496726445479e-30	0.0032101010101010102
1.1648958170762492e-30	0.0032444444444444448
1.7458727035632803e-31	0.003278787878787879
2.5886177364617083e-32	0.0033131313131313134
3.798990066166406e-33	0.0033474747474747475
5.5210779091691725e-34	0.003381818181818182
7.949526930877875e-35	0.003416161616161616
1.1345463975045577e-35	0.0034505050505050506
1.6056999600202858e-36	0.003484848484848485
2.254556134059804e-37	0.0035191919191919193
3.141965515101383e-38	0.003553535353535354
4.347809821440503e-39	0.003587878787878788
5.976534306124468e-40	0.0036222222222222224
8.164226000731106e-41	0.0036565656565656565
1.1087671574521004e-41	0.003690909090909091
1.4975954919528174e-42	0.0037252525252525256
2.012531935159798e-43	0.0037595959595959597
2.691823471880862e-44	0.003793939393939394
3.584789188654992e-45	0.0038282828282828283
4.754971762975531e-46	0.003862626262626263
6.284199072028478e-47	0.0038969696969696974
8.277828365988315e-48	0.003931313131313132
1.0871530605403256e-48	0.003965656565656566
1.4240085529401014e-49	0.004
