relative_likelihood	K_M
2.9286103537460365e-71	20.0
1.4311810610503516e-63	21.616161616161616
8.405712176102026e-57	23.232323232323232
8.121757447905821e-51	24.848484848484848
1.6666108475496828e-45	26.464646464646464
8.960333947690975e-41	28.080808080808083
1.502547263423704e-36	29.696969696969695
9.093670629387039e-33	31.313131313131315
2.2467409006778253e-29	32.92929292929293
2.5161249145808582e-26	34.54545454545455
1.3968895547174715e-23	36.161616161616166
4.152389823346806e-21	37.77777777777778
7.064479432317093e-19	39.39393939393939
7.28897914163476e-17	41.01010101010101
4.797663293484227e-15	42.62626262626263
2.105912779131043e-13	44.24242424242424
6.410141985076566e-12	45.858585858585855
1.4005829797688394e-10	47.474747474747474
2.264978991824787e-9	49.09090909090909
2.785908246152261e-8	50.707070707070706
2.6704004995679567e-7	52.323232323232325
2.0386507562298887e-6	53.93939393939394
0.00001263994875706456	55.55555555555556
0.00006477555155877755	57.17171717171717
0.0002787516018046738	58.78787878787879
0.0010218299103017265	60.4040404040404
0.0032323802633003776	62.02020202020202
0.008928019408642239	63.63636363636363
0.021762990179337468	65.25252525252526
0.04727593370666352	66.86868686868686
0.09233707252861675	68.48484848484848
0.16347451702662782	70.1010101010101
0.2642934446121894	71.71717171717171
0.39286200264554083	73.33333333333334
0.5402847700952427	74.94949494949495
0.6913952068233853	76.56565656565657
0.8276441425988347	78.18181818181819
0.9312934573425264	79.79797979797979
0.9894704233977949	81.41414141414141
0.9967601458129904	83.03030303030303
0.9556789443833931	84.64646464646465
0.87519405451822	86.26262626262626
0.768053380603469	87.87878787878788
0.6478772434053257	89.4949494949495
0.5267838160227041	91.11111111111111
0.4139491437836242	92.72727272727272
0.31513192544290136	94.34343434343434
0.23294349822607593	95.95959595959596
0.16754647087657698	97.57575757575758
0.11748903255445917	99.1919191919192
0.0804691752781977	100.8080808080808
0.05392264418512768	102.42424242424242
0.035408855192165384	104.04040404040404
0.022818940016087814	105.65656565656566
0.014451843032177622	107.27272727272727
0.009006522012364786	108.88888888888889
0.005529966178007174	110.5050505050505
0.0033489660662833357	112.12121212121212
0.0020025428482040174	113.73737373737373
0.0011834944792159777	115.35353535353535
0.0006919381079287963	116.96969696969697
0.0004005554752615398	118.58585858585859
0.00022977703372054322	120.2020202020202
0.00013071670654196774	121.81818181818181
0.00007379849218689908	123.43434343434343
0.000041375943617327555	125.05050505050505
0.00002305188718922162	126.66666666666667
0.000012769694435671967	128.2828282828283
7.037388467511855e-6	129.8989898989899
3.860347216061713e-6	131.5151515151515
2.108812980638497e-6	133.13131313131314
1.1477484738567205e-6	134.74747474747474
6.226447554240009e-7	136.36363636363637
3.368181838899379e-7	137.97979797979798
1.8175161740269456e-7	139.59595959595958
9.786886852027095e-8	141.2121212121212
5.26066872084888e-8	142.82828282828282
2.8236131326292822e-8	144.44444444444446
1.5137938613803917e-8	146.06060606060606
8.10862564004071e-9	147.67676767676767
4.340712745046253e-9	149.2929292929293
2.3228199599610273e-9	150.9090909090909
1.2428298749400798e-9	152.5252525252525
6.650346314520715e-10	154.14141414141415
3.559609295082659e-10	155.75757575757575
1.9062046301792568e-10	157.37373737373738
1.0214669891564299e-10	158.989898989899
5.4782326234559654e-11	160.6060606060606
2.940946104746315e-11	162.22222222222223
1.580625487748645e-11	163.83838383838383
8.506032282721747e-12	165.45454545454544
4.583932339640301e-12	167.07070707070707
2.4740922506710593e-12	168.68686868686868
1.337550193349114e-12	170.3030303030303
7.243818766303192e-13	171.91919191919192
3.930357883544811e-13	173.53535353535352
2.1367048316052868e-13	175.15151515151516
1.1639733912718348e-13	176.76767676767676
6.354234993580465e-14	178.3838383838384
3.4764692017680584e-14	180.0
